"","Lupus","WT"
"Fcho1",0.43448854886371,-0.254806277840133
"Olfr372",0.659896848519522,-0.921168528609142
"Olfr373",0.764945315193966,-1.26158039393638
"Adcy7",0.294658167414612,-0.337479937951207
"Slc12a3",0.233971652785026,-0.127028707414659
"9330175E14Rik",0.65844535935072,-0.714468705085996
"Nlrc5",0.398569545374936,-0.445493095281907
"Tradd",0.389367188414704,-0.0567542688328914
"Fbxl8",0.414853831054966,-0.0720474842993097
"Nutf2",0.333219790196928,-0.128772057234394
"Mir7687",0.231684684155536,-0.152881497570901
"Birc3",0.410291654188437,-0.422167571178136
"Panx1",0.479471626744967,-0.0883883468910555
"S1pr2",0.361727050517062,-0.288359781011351
"AB124611",0.342683573348653,-0.338412949655588
"Zfp810",0.5270805428152,-0.619030102993034
"St3gal4",0.426124062059832,-0.216924153678256
"Dcps",0.278582201250978,-0.00449976982113186
"Slc37a2",0.493043179694061,-0.316765501542538
"Olfr907",1.11412015423861,-1.34398321737964
"Olfr911-ps1",1.69214360647511,-1.3543877548313
"Olfr910",1.4710998049697,-1.62541113328862
"Olfr912",1.75455787765409,-1.42944742964998
"Olfr913",1.4396145741988,-1.26405082197858
"Olfr914",1.31771458760319,-1.35206031660316
"Olfr916",1.2545395786475,-1.35268110694252
"Olfr918",1.37535416467714,-1.31766496152613
"Olfr919",1.18796906602298,-1.30293932672631
"Vwa5a",1.40536255648087,-1.49665656443986
"Olfr920",1.38089996880539,-1.43411222317813
"Olfr921",1.72659634114142,-1.46350645474815
"Olfr922",1.65457862517694,-1.39210877887745
"Olfr924",1.59405201940721,-2
"Olfr26",1.65526417946998,-1.19645510056829
"Olfr926",1.30367393218194,-0.976865747836123
"Gramd1b",0.236130628661051,-0.256721510444997
"Cd3d",0.62416401657748,-0.651157216212224
"Jaml",0.57486128865502,-0.505050743190728
"Gm10684",0.365480951047342,-0.299637687029404
"Il10ra",0.546097668113366,-0.514894799885152
"Mir7086",0.524678294265367,-0.69635118781931
"Cadm1",0.385517265661308,-0.218514587635455
"Gm10677",0.496003542333262,-0.0224922929082764
"Zbtb16",0.57348564328229,-0.587613250608949
"Htr3b",0.603989123980363,-0.0956973269684956
"Kif23",0.376804420188205,-0.125035370406327
"Aph1c",0.377833597052844,-0.136347505167751
"Rab27a",0.296203005217512,-0.075396039816091
"Minar1",0.35259834707343,-0.160627083279784
"Pik3cb",0.231429950950462,0.0139871989938435
"Col6a6",0.362558809285814,-0.0815260611906723
"Poc1a",0.278108868850303,-0.260995504615512
"Cish",0.233788950755747,-0.247086325832073
"Cacna2d2",0.248352993667326,-0.197367541252341
"Tcta",0.279676955724232,-0.110657439299647
"Csrnp1",0.239652327998242,-0.413761330229599
"Cx3cr1",0.610142729027036,-0.640730001175087
"Higd1a",0.319633846357873,-0.229575771757177
"Fyco1",0.391019533582356,-0.229729540167186
"Xcr1",0.477117398177559,-0.525674051424216
"Ccr2",0.660384285020998,-0.686247070037821
"Pnck",0.534720529741885,-0.268226614349581
"Gk",0.328405728826967,-0.23505011392789
"Gm15127",0.748756470504181,-0.486412002590786
"Luzp4",0.632999099427178,-0.48919175506577
"Tspyl2",0.440491604868416,-0.17197183447642
"Xkr4",-0.0945391823022565,0.21371433887262
"Sntg1",-0.183304011021532,0.207480288297792
"Gm5523",-0.28102192804056,0.45378258432281
"Kcnb2",-0.199424794279661,0.248686912008342
