"","D01116_test","D01117_test","D01118_test","D01119_test","D01120_test"
"Usp53",-0.14082487931702,-0.00472033394591077,-0.0623678947509666,0.392140398265872,0.354893596997284
"Rpl11",0.0118042001268289,-0.0725462830698642,-0.328860072092597,0.283686812347379,0.203458769217169
"9430015G10Rik",-0.157225159887702,-0.0495987811526904,-0.429947086343992,0.334527725711197,0.295451870275543
"Agfg2",-0.0557670293955996,0.079520369299739,-0.347075789141666,0.386785998499074,0.213704312106432
"Luc7l2",-0.286153354461707,-0.0306706023695159,-0.362717015780716,0.396216091350312,0.448145236888278
"Gadd45a",-0.102336489044386,-0.225384007591733,-0.200695084341694,0.422561149213549,0.323025045325957
"Vamp8",-0.150340444255064,-0.0908315337993213,-0.225751181864555,0.454409781223551,0.33948125247523
"Clec2d",-0.462789145272215,-0.202355841758268,-0.347230982300505,0.531856398532568,0.322548891948821
"Plekha1",-0.163715059353943,0.0657939748805556,-0.270079171828905,0.420135313412406,0.241451089346938
"Rbpms",-0.0400730964158864,-0.166496669102826,-0.264896278673398,0.23087097913054,0.218953192175895
"Mir7075",-0.0792384652393769,-0.212800112727814,-0.431805887457512,0.349102566837402,0.244323973398507
"Gm10658",-0.372194308351665,-0.0345098715698769,-0.312687546693114,0.300970386694226,0.467519603036189
"Fam214a",-0.187031695193631,-0.178380123903136,-0.0626263223735958,0.324122478576617,0.234946033030854
"Mir425",-0.177813531381794,-0.111024145180448,-0.362860875411519,0.487780093152925,0.554578520615827
"Adhfe1",-0.15958888730657,-0.341505535497458,-0.161228685420688,0.265908798170984,0.515170493478501
"Cops5",-0.148741958780322,-0.0911792621612523,0.0467361448612073,0.0065065083838914,0.49747490362916
"Rdh10",-0.224963139090866,-0.106336712643368,-0.0740948562324567,-0.160245310221718,0.343981846954353
"Rpl7",-0.157005172822093,-0.102502921349721,-0.0402515436963497,-0.145639077129151,0.295846723742644
"Eloc",-0.248625644479537,0.0128920801430108,-0.00460859452060514,-0.0759961719807244,0.36291098601619
"D030040B21Rik",-0.371519369691836,0.0185531258435867,-0.0598456125394417,-0.0315690996633441,0.552631592591109
"Mir30a",-0.173329949368149,-0.112323161158586,-0.330601214008817,0.348118027667617,0.268570452212516
